occupation_code,level,parent_code,title,description,skill_level,source,source_year
763,minor,76,OTHER CRAFT AND RELATED WORKERS,,,MASCO 2020,2020
7631,unit,763,UNDERWATER DIVERS,"Underwater Divers work under the surface of water with the aid of breathing apparatus to inspect, install, repair and remove equipment and structures, conduct tests or experiments, rig explosives, photograph structures or marine life, recover items or search for missing persons.",,MASCO 2020,2020
7632,unit,763,SHOTFIRERS AND BLASTERS,"Shotfirers and Blasters assemble, position and detonate explosives in order to move or break up soil and rocks, or demolish buildings.",,MASCO 2020,2020
7633,unit,763,PRODUCT GRADERS AND TESTERS (EXCLUDING FOODS AND BEVERAGES),"Product Graders and Testers (Excluding Foods and Beverages) inspect, test, sort, sample and weigh raw materials and goods produced or sold to ensure compliance with quality standards, identify defects, wear and deviations from specifications, and grade and classify them according to quality.",,MASCO 2020,2020
7634,unit,763,FUMIGATORS AND PEST AND WEED CONTROLLERS,"Fumigators and Pest and Weed Controllers use chemicals to remove harmful insects, small animals, wild plants and other unwanted organisms to prevent damage to crops and buildings and other structures and their surroundings and to prevent health risks.",,MASCO 2020,2020
7639,unit,763,OTHER RELATED CRAFT WORKERS NOT ELSEWHERE CLASSIFIED,"This unit group covers Other Related Craft Workers Not Elsewhere Classified in Minor Group 763: Other Craft and Related Workers. As an example, this group include Optical Lens Finisher, Optical Lens Moulder, Camera Operator and Skilled Assistant Grade H19",,MASCO 2020,2020
8,major,,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,,,MASCO 2020,2020
81,sub_major,8,STATIONARY PLANT AND MACHINE OPERATORS,,,MASCO 2020,2020
811,minor,81,MINING AND MINERAL PROCESSING PLANT OPERATORS,,,MASCO 2020,2020
8111,unit,811,MINERS AND QUARRY WORKERS,"Miners and Quarry Workers operate machinery, plants sand hand tools, and extract solid minerals from underground and open cast mines or quarries.",,MASCO 2020,2020
8112,unit,811,MINERAL AND STONE PROCESSING PLANT OPERATORS,Mineral and Stone Processing Plant Operators operate and monitor machinery and equipment for processing mineral ores and stones.,,MASCO 2020,2020
8113,unit,811,WELL DRILLERS AND BORERS AND RELATED WORKERS,"Well Drillers, Borers and Related Workers position, assemble and operate drilling machinery and related equipment to dig wells, extract ores, liquids or gases, or for various other purposes.",,MASCO 2020,2020
8114,unit,811,"CEMENT, STONE AND OTHER MINERAL PRODUCTS MACHINE OPERATORS","Cement, Stone and Other Mineral Products Machine Operators operate and monitor extrusion, moulding, mixing, grinding and cutter machines which manufacture and finish various precast concrete and stone products, or which make cast stone for building purposes.",,MASCO 2020,2020
812,minor,81,METAL PROCESSING AND FINISHING PLANT OPERATORS,,,MASCO 2020,2020
8121,unit,812,METAL PROCESSING PLANT OPERATORS,"Metal Processing Plant Operators operate and monitor ore smelting, metal converting and refining furnaces, metal rolling mills, metal heat treating or metal extrusion plants.",,MASCO 2020,2020
8122,unit,812,"METAL FINISHING, PLATING AND COATING MACHINE OPERATORS","Metal Finishing, Plating and Coating Machine Operators operate and monitor equipment which finishes, plates and coats metal articles or parts in order to give them improved resistance to corrosion and abrasion, for decorative purposes, or to impart electrical or magnetic properties.",,MASCO 2020,2020
813,minor,81,CHEMICAL AND PHOTOGRAPHIC PRODUCTS PLANT AND MACHINE OPERATORS,,,MASCO 2020,2020
8131,unit,813,CHEMICAL PRODUCTS PLANT AND MACHINE OPERATORS,"Chemical Products Plant and Machine Operators monitor and operate units and machinery to blend, mix, process and package a wide range of chemical products.",,MASCO 2020,2020
8132,unit,813,PHOTOGRAPHIC PRODUCTS MACHINE OPERATORS,"Photographic Products Machine Operators operate and monitor equipment which makes photographic film and paper, and which processes exposed photographic film and makes prints.",,MASCO 2020,2020
814,minor,81,"RUBBER, PLASTIC AND PAPER PRODUCTS MACHINE OPERATORS",,,MASCO 2020,2020
8141,unit,814,RUBBER PRODUCTS MACHINE OPERATORS,"Rubber Products Machine Operators operate and monitor machines which knead and blend rubber and rubber compounds, and produce various components and products from natural and synthetic rubber such as moulded footwear, domestic articles, insulating materials, industrial accessories, or tyres for bicycles, automobiles, tractors, aircraft and other vehicles.",,MASCO 2020,2020
8142,unit,814,PLASTIC PRODUCTS MACHINE OPERATORS,Plastic Products Machine Operators operate and monitor machines which knead and blend compounds to obtain plastic materials and which make various plastic components and articles.,,MASCO 2020,2020
8143,unit,814,PAPER PRODUCTS MACHINE OPERATORS,"Paper Products Machine Operators operate and monitor machines which produce boxes, envelopes, bags and other products from paper, paperboard, cardboard, cellophane and similar materials.",,MASCO 2020,2020
815,minor,81,"TEXTILE, FUR AND LEATHER PRODUCTS MACHINE OPERATORS",,,MASCO 2020,2020
8151,unit,815,"FIBRE PREPARING, SPINNING AND WINDING MACHINE OPERATORS","Fibre Preparing, Spinning and Winding Machine Operators operate and monitor machines which prepare fibres, and spin, twist and wind yarn and thread.",,MASCO 2020,2020
8152,unit,815,WEAVING AND KNITTING MACHINE OPERATORS,Weaving and Knitting Machine Operators operate and monitor weaving and knitting machines and related equipment used to produce materials and fabrics.,,MASCO 2020,2020
8153,unit,815,SEWING MACHINE OPERATORS,"Sewing Machine Operators operate and monitor sewing machines to make, repair and renovate textile, fur, synthetic or leather garments, or embroider ornamental designs on garments or other materials.",,MASCO 2020,2020
8154,unit,815,"BLEACHING, DYEING AND FABRIC CLEANING MACHINE OPERATORS","Bleaching, Dyeing and Fabric Cleaning Machine Operators operate and monitor machines which bleach, dye, wash and otherwise treat fibres, yarn or cloth, or dry clean textile and leather articles.",,MASCO 2020,2020
8155,unit,815,FUR AND LEATHER PREPARING MACHINE OPERATORS,Fur and Leather Preparing Machine Operators operate and monitor various machines which prepare fur and leather.,,MASCO 2020,2020
8156,unit,815,SHOEMAKING AND RELATED MACHINE OPERATORS,"Shoemaking and Related Machine Operators operate and monitor machines which produce and repair standard or special footwear, handbags and other accessories, mainly made of leather.",,MASCO 2020,2020
8157,unit,815,LAUNDRY MACHINE OPERATORS,"Laundry Machine Operators operate laundry, dry cleaning, presser and fabric treatment machines in laundries and dry cleaning establishments.",,MASCO 2020,2020
8159,unit,815,"TEXTILE, FUR AND LEATHER PRODUCTS MACHINE OPERATORS NOT","ELESEWHERE CLASSIFIED This unit group includes Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified Minor Group 815: Textile Products Machine operators. As an example this group include Machine Operator, Garment Cutting, Machine Cutter, Leather Garment, Machine Operator, Textile Cutting and Machine, Hat Making",,MASCO 2020,2020
816,minor,81,FOOD AND RELATED PRODUCTS MACHINE OPERATORS,,,MASCO 2020,2020
8161,unit,816,FOOD AND RELATED PRODUCTS MACHINE OPERATORS,"Food and Related Products Machine Operators operate and monitor machines which slaughter animals, process meat, process foodstuffs and related products, and process tobacco.",,MASCO 2020,2020
817,minor,81,WOOD PROCESSING AND PAPERMAKING PLANT OPERATORS,,,MASCO 2020,2020
8171,unit,817,PULP AND PAPERMAKING PLANT OPERATORS,"Pulp and Papermaking Plant Operators operate and monitor machinery and equipment which process materials such as wood, old paper, esparto, straw, scrap-pulp and paper into stock for use in papermaking.",,MASCO 2020,2020
8172,unit,817,WOOD PROCESSING PLANT OPERATORS,"Wood Processing Plant Operators operate and monitor machinery and equipment for sawing wood, cutting veneer and making plywood, particle board and chipboard, and otherwise prepare wood for further use.",,MASCO 2020,2020
8173,unit,817,WOOD PRODUCTS MACHINE OPERATORS,"Wood Products Machine Operators operate and monitor woodworking machines which perform repetitive work such as sawing, boring, shaping, planning, turning or carving wood to produce wood products.",,MASCO 2020,2020
818,minor,81,OTHER STATIONARY PLANT AND MACHINE OPERATORS,,,MASCO 2020,2020
8181,unit,818,GLASS AND CERAMICS PLANT OPERATORS,"Glass and Ceramics Plant Operators operate and monitor kilns, furnaces and other machinery and equipment used in the manufacture of glass, ceramics, porcelain, tiles or bricks. They operate machines to anneal, harden or decorate glass and ceramics.",,MASCO 2020,2020
8182,unit,818,STEAM ENGINE AND BOILER OPERATORS,"Steam Engine and Boiler Operators maintain and operate various types of steam engines, boilers, turbines and auxiliary equipment to provide power and other utility services for commercial, industrial and institutional buildings, at work sites and aboard ships. Tugas merangkumi: a) operating and monitoring coal or oil-fired steam engines or boilers; b) monitoring and checking the performance of equipment to ensure efficient operation and that boiler water, chemicals and fuel are maintained at required levels; c) testing the boiler water quality and taking necessary corrective action such as adding chemicals to prevent corrosion and harmful deposits; d) managing the operation of static plant / machinery of the department either steam boiler or internal combustion engine, scheduled / periodic maintenance of the boiler, boiler safety procedures as well as the support system connected to the boiler; and e) performing related tasks.",,MASCO 2020,2020
8183,unit,818,"PACKING, BOTTLING AND LABELLING MACHINE OPERATORS","Packing, Bottling and Labelling Machine Operators operate machines which pack, label and, if needed, add revenue stamps to products, packages and containers, or inspect finished products or parts in compliance with manufacturer’s standards, finish and appearance.",,MASCO 2020,2020
8189,unit,818,STATIONARY PLANT AND MACHINE OPERATORS NOT ELSEWHERE,"CLASSIFIED This unit group includes Stationary Plant and Machine Operators Not Elsewhere Classified in Minor Group 818: Other Stationary Plant and Machine Operators. As an example, this group include Machine Operator, Production Operator, Equipment and Machine Operator and Heavy Machinery Operator",,MASCO 2020,2020
82,sub_major,8,ASSEMBLERS,,,MASCO 2020,2020
821,minor,82,ASSEMBLERS,,,MASCO 2020,2020
8211,unit,821,MECHANICAL MACHINERY ASSEMBLERS,"Mechanical Machinery Assemblers assemble the components or parts of mechanical machinery such as the engine, motor vehicles, turbines and aircraft according to specifications.",,MASCO 2020,2020
8212,unit,821,ELECTRICAL AND ELECTRONIC EQUIPMENT ASSEMBLERS,Electrical and Electronic Equipment Assemblers assemble the components or parts of electrical and electronic equipment according to specifications.,,MASCO 2020,2020
8213,unit,821,"LEATHER, METAL, RUBBER AND PLASTIC PRODUCTS ASSEMBLERS","Leather, Metal, Rubber and Plastic Products Assemblers perform specialised tasks in assembling the leather, metal, rubber or plastic components or parts of various types of products such as toys, sports equipment and other products according to specifications.",,MASCO 2020,2020
8219,unit,821,ASSEMBLERS NOT ELSEWHERE CLASSIFIED,"This unit group includes Assemblers Not Elsewhere Classified in Minor Group 821: Assemblers. As an example, this group include Assembler, Wood Products, Assembler, Composite Products, Assembler, Textile Products and Assembler, Bicycle",,MASCO 2020,2020
822,minor,82,MACHINE-TOOL SETTER-OPERATORS,,,MASCO 2020,2020
8221,unit,822,MACHINE-TOOL SETTER-OPERATORS,Machine-Tool Setter-Operators set up and operate various machine tools for use at high tolerance levels.,,MASCO 2020,2020
83,sub_major,8,DRIVERS AND MOBILE PLANT OPERATORS,,,MASCO 2020,2020
831,minor,83,LOCOMOTIVE ENGINE DRIVERS AND RELATED WORKERS,,,MASCO 2020,2020
8311,unit,831,LOCOMOTIVE ENGINE DRIVERS,"Locomotive Engine Drivers drive or assist in driving locomotive engines, trains, monorails and similar engines to transport passengers and freight.",,MASCO 2020,2020
8312,unit,831,"RAILWAY BRAKE, SIGNAL AND SWITCH OPERATORS","Railway Brake, Signal and Switch Operators take charge of and safeguard railway freight trains during runs, control the movement of railway traffic by operating signals, switch rolling stock and make up trains in railway yards, make up trains for hauling in mines and control their movement.",,MASCO 2020,2020
832,minor,83,"CAR, VAN AND MOTORCYCLE DRIVERS",,,MASCO 2020,2020
8321,unit,832,MOTORCYCLE RIDERS (DRIVERS),"Motorcycle Riders (Drivers) drive and tend motorcycles or motorised tricycles equipped to transport materials, goods or passengers.",,MASCO 2020,2020
8322,unit,832,"CAR, TAXI AND VAN DRIVERS","Car, Taxi and Van Drivers drive and tend motorcars and vans to transport passengers, mail or goods.",,MASCO 2020,2020
833,minor,83,HEAVY TRUCK AND BUS DRIVERS,,,MASCO 2020,2020
8331,unit,833,BUS AND TRAM DRIVERS,"Bus and Tram Drivers drive and tend buses or street tramcars to transport passengers, mail or goods.",,MASCO 2020,2020
8332,unit,833,HEAVY TRUCK AND LORRY DRIVERS,"Heavy Truck and Lorry Drivers drive and tend heavy motor vehicles to transport goods, liquids and heavy materials over short or long distances.",,MASCO 2020,2020
834,minor,83,MOBILE PLANT OPERATORS,,,MASCO 2020,2020
8341,unit,834,MOBILE FARM AND FORESTRY PLANT OPERATORS,"Mobile Farm and Forestry Plant Operators drive or operate one or more types of motorised, mobile farm or forestry machinery or equipment used in farming, horticultural and forestry operations.",,MASCO 2020,2020
8342,unit,834,EARTH-MOVING AND RELATED PLANT OPERATORS,"Earth-Moving and Related Plant Operators operate machines to excavate, grade, level, smooth and compact earth or similar materials.",,MASCO 2020,2020
8343,unit,834,"CRANE, HOIST AND RELATED PLANT OPERATORS","Crane, Hoist and Related Plant Operators operate and monitor stationary and mobile cranes and other hoisting equipment.",,MASCO 2020,2020
8344,unit,834,LIFTING TRUCK OPERATORS,"Lifting Truck Operators drive, operate and monitor lifting trucks or similar vehicles to transport, lift and stack pallets with goods.",,MASCO 2020,2020
835,minor,83,SHIPS DECK CREWS AND RELATED WORKERS,,,MASCO 2020,2020
8351,unit,835,SHIPS DECK CREWS AND RELATED WORKERS,Ships Deck Crews and Related Workers carry out deck duties on board ships and similar duties on board other water-borne craft.,,MASCO 2020,2020
9,major,,ELEMENTARY OCCUPATIONS,,,MASCO 2020,2020
91,sub_major,9,CLEANERS AND HELPERS,,,MASCO 2020,2020
911,minor,91,"DOMESTIC, HOTEL AND OFFICE CLEANERS AND HELPERS",,,MASCO 2020,2020
9111,unit,911,DOMESTIC CLEANERS AND HELPERS,"Domestic Cleaners and Helpers sweep, vacuum clean, wash, polish, take care of household linen, purchase household supplies, prepare food, serve meals and perform various other domestic duties.",,MASCO 2020,2020
9112,unit,911,"CLEANERS AND HELPERS IN OFFICES, HOTELS AND OTHER","ESTABLISHMENTS Cleaners and Helpers and in Offices, Hotels and Other Establishments perform various cleaning tasks in order to keep clean and tidy the interiors and fixtures of hotels, offices and other establishments, as well as aircraft, trains, buses and similar vehicles.",,MASCO 2020,2020
912,minor,91,"VEHICLE, WINDOW, LAUNDRY AND OTHER HAND CLEANING WORKERS",,,MASCO 2020,2020
9121,unit,912,HAND LAUNDERERS AND IRONERS,Hand Launderers and Ironers iron or dry-clean linen and other textiles by hand.,,MASCO 2020,2020
9122,unit,912,VEHICLE CLEANERS,"Vehicle Cleaners wash, clean and polish vehicles.",,MASCO 2020,2020
9123,unit,912,SURFACE AND WINDOW CLEANERS,"Surface and Window cleaners wash and polish windows, other glass or non-glass surfaces.",,MASCO 2020,2020
9129,unit,912,OTHER CLEANING WORKERS NOT ELSEWHERE CLASSIFIED,"This unit group includes Other Cleaning Workers Not Elsewhere Classified in Minor Group 912: Vehicle, Window, Laundry and Other Hand Cleaning Workers. As an example, this include Worker, Toiletries, Working, Washing, Cleaner, Carpet and Cleaner, Swimming Pool",,MASCO 2020,2020
92,sub_major,9,"AGRICULTURAL, FORESTRY, FARMING AND FISHERY LABOURERS",,,MASCO 2020,2020
921,minor,92,"AGRICULTURAL, FORESTRY, FARMING AND FISHERY LABOURERS",,,MASCO 2020,2020
9211,unit,921,CROP FARM LABOURERS,"Crop Farm Labourers perform simple and routine tasks in the production of crops such as fruit, nuts, grains and vegetables.",,MASCO 2020,2020
9212,unit,921,LIVESTOCK FARM LABOURERS,Livestock Farm Labourers perform simple and routine tasks in the production of livestock including poultry and insects.,,MASCO 2020,2020
9213,unit,921,MIXED CROP AND LIVESTOCK FARM LABOURERS,Mixed Crop and Livestock Farm Labourers perform simple and routine tasks in the production of crops and livestock.,,MASCO 2020,2020
9214,unit,921,GARDEN AND HORTICULTURAL LABOURERS,Garden and Horticultural Labourers perform a variety of simple gardening tasks.,,MASCO 2020,2020
9215,unit,921,FORESTRY LABOURERS,"Forestry Labourers perform a variety of simple forestry, hunting and trapping tasks.",,MASCO 2020,2020
9216,unit,921,FISHERY AND AQUACULTURE LABOURERS,Fishery and Aquaculture Labourers perform a variety of simple and routine fishery and aquaculture tasks.,,MASCO 2020,2020
9219,unit,921,"AGRICULTURAL, FORESTRY, FARMING AND FISHERY LABOURERS","NOT ELSEWHERE CLASSIFIED This unit group includes Agricultural, Forestry, Farming and Fishery Labourers Not Elsewhere Classified in Minor Group: 921: Agricultural, Forestry, Farming and Fishery Labourers. As an example, this include Labourer, Crocodile Cage and Labourer, Snake Cage.",,MASCO 2020,2020
93,sub_major,9,"MINING, CONSTRUCTION, MANUFACTURING AND TRANSPORT LABOURERS",,,MASCO 2020,2020
931,minor,93,MINING AND CONSTRUCTION LABOURERS,,,MASCO 2020,2020
9311,unit,931,MINING AND QUARRYING LABOURERS,Mining and Quarrying Labourers perform simple and routine tasks related to mining or quarrying operations.,,MASCO 2020,2020
9312,unit,931,CIVIL ENGINEERING LABOURERS,"Civil Engineering Labourers perform a variety of routine tasks related to the building and maintenance of roads, dams and similar constructions.",,MASCO 2020,2020
9313,unit,931,BUILDING CONSTRUCTION LABOURERS,Building Construction Labourers perform a variety of routine tasks related to building construction and demolition work.,,MASCO 2020,2020
932,minor,93,MANUFACTURING LABOURERS,,,MASCO 2020,2020
9321,unit,932,MANUFACTURING LABOURERS,"Manufacturing Labourers weighing, packing and labelling goods and products by hand.",,MASCO 2020,2020
9329,unit,932,MANUFACTURING LABOURERS NOT ELSEWHERE CLASSIFIED,This unit group includes Manufacturing Labourers Not Elsewhere Classified in Minor Group 932: Manufacturing Labourers.,,MASCO 2020,2020
933,minor,93,TRANSPORT AND STORAGE LABOURERS,,,MASCO 2020,2020
9331,unit,933,HAND OR PEDAL VEHICLE DRIVERS,Hand or Pedal Vehicle Drivers propel cycles and similar vehicles to transport passengers or goods.,,MASCO 2020,2020
9332,unit,933,ANIMAL-DRAWN MACHINERY AND VEHICLE DRIVERS,Animal-Drawn Machinery and Vehicle Drivers drive animal-drawn vehicles to transport passengers or goods usually in connection with farming.,,MASCO 2020,2020
9333,unit,933,TRANSPORT AND STORAGE LABOURERS,"Transport and Storage Labourers carry out tasks such as packing, carrying, loading and unloading furniture and other household items, or loading and unloading ship and aircraft cargo and other freight, or carrying and stacking goods in various warehouses.",,MASCO 2020,2020
9334,unit,933,SHELF FILLERS,Shelf Fillers stock shelves and display areas and keep stock clean and in order in supermarkets and other retail and wholesale shops.,,MASCO 2020,2020
94,sub_major,9,FOOD PREPARATION ASSISTANTS,,,MASCO 2020,2020
941,minor,94,FOOD PREPARATION ASSISTANTS,,,MASCO 2020,2020
9411,unit,941,FAST FOOD PREPARERS,Fast Food Preparers prepare and cook foods and beverages that involve simple preparation processes and a small number of ingredients. They may take orders from customers and serve at counters or tables.,,MASCO 2020,2020
9412,unit,941,KITCHEN HELPERS,"Kitchen Helpers clean tables and kitchen areas, wash dishes, prepare ingredients, and perform various duties to assist cooks and chefs to prepare and serve food and beverages.",,MASCO 2020,2020
95,sub_major,9,STREET AND RELATED SALES AND SERVICE WORKERS,,,MASCO 2020,2020
951,minor,95,STREET AND RELATED SERVICE WORKERS,,,MASCO 2020,2020
9511,unit,951,STREET AND RELATED SERVICE WORKERS,"Street and Related Service Workers provide a variety of services on the street and in other public places including cleaning shoes, washing car windows, handing out leaflets, looking after property and provide other on-the-spot on the street.",,MASCO 2020,2020
952,minor,95,STREET VENDORS (EXCLUDING FOOD),,,MASCO 2020,2020
9521,unit,952,STREET VENDORS (EXCLUDING FOOD),Street Vendors (Excluding Food) sell usually a limited range of goods or provide services from barrows or kiosks on streets and public places.,,MASCO 2020,2020
96,sub_major,9,OTHER ELEMENTARY WORKERS,,,MASCO 2020,2020
961,minor,96,REFUSE COLLECTORS,,,MASCO 2020,2020
9611,unit,961,GARBAGE COLLECTORS,"Garbage Collectors collect and remove refuse and items for recycling from buildings, yards, streets and other public places.",,MASCO 2020,2020
9612,unit,961,REFUSE AND RECYCLABLE WASTE SORTERS,"Refuse and Recyclable Waste Sorters identify, collect and sort discarded items that are suitable for recycling at disposal sites and recycling enterprises or in buildings, streets and other public places.",,MASCO 2020,2020
9613,unit,961,SWEEPERS AND RELATED LABOURERS,"Sweepers and Related Labourers sweep and clean streets, parks, airports, stations and other public places.",,MASCO 2020,2020
962,minor,96,OTHER ELEMENTARY WORKERS,,,MASCO 2020,2020
9621,unit,962,"MESSENGERS, PACKAGE DELIVERERS AND LUGGAGE PORTERS","Messengers, Package Deliverers and Luggage Porters carry and deliver messages, packages and other items within an establishment or between establishments, to households and elsewhere, or carry luggage especially at hotels, stations and airports.",,MASCO 2020,2020
9622,unit,962,ODD-JOB PERSONS,"Odd-Job Persons clean, paint and maintain buildings, grounds and facilities, and undertake simple repairs.",,MASCO 2020,2020
9623,unit,962,METER READERS AND VENDING-MACHINE COLLECTORS,"Meter Readers and Vending-Machine Collectors fill stocks in vending machines and collect money from the machines or from parking meters and other coin-boxes, or read electricity, gas or water meters.",,MASCO 2020,2020
9624,unit,962,WATER AND FIREWOOD COLLECTORS,"Water and Firewood Collectors collect water and wood used for cooking, heating, cleaning and others.",,MASCO 2020,2020
9625,unit,962,ATTENDANTS,"Attendants are primarily concerned with the provision of services in offices, industrial or business, recreational and related establishments.",,MASCO 2020,2020
9629,unit,962,ELEMENTARY WORKERS NOT ELSEWHERE CLASSIFIED,"This unit group includes Elementary Workers Not Elsewhere Classified in Minor Group 962: Other Elementary Workers. As an example, this group include Labourer and Inflatable Worker",,MASCO 2020,2020
