occupation_code,level,parent_code,title,description,skill_level,source,source_year
6113,unit,611,"GARDENERS, HORTICULTURAL AND NURSERY GROWERS","Gardeners, Horticultural and Nursery Growers plan and carry out the necessary operations to grow vegetables by intensive cultivation techniques, to cultivate trees, shrubs, flowers and other plants and to produce saplings, bulbs and seeds for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
6114,unit,611,MIXED CROP GROWERS,"Mixed Crop Growers plan and carry out the necessary operations to grow and harvest specific combinations of field crops, field vegetables, tree and shrub crops, garden, horticultural and nursery products, for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
6115,unit,611,VEGETABLE GROWERS,"Vegetable Growers plan and carry out the necessary operations to grow and harvest various types of vegetables for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
612,minor,61,ANIMAL PRODUCERS,,,MASCO 2020,2020
6121,unit,612,LIVESTOCK AND DAIRY PRODUCERS,"Livestock and Dairy Producers plan and carry out the necessary operations to breed, raise and tend livestock such as cattle, sheep, pigs, goats, horses, dogs and cats to be used as working, sporting or pet animals as well as to obtain meat, milk, wool, skin and other products for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
6122,unit,612,POULTRY PRODUCERS,"Poultry Producers plan and carry out the necessary operations to breed, raise and tend poultry to produce eggs, meat, nest or feathers and breeding stock for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
6123,unit,612,APIARISTS AND SERICULTURISTS,"Apiarists and Sericulturists plan and carry out the necessary operation to breed, raise and tend insects such as honey bees, silkworms and other species to produce honey, beeswax, silk and other products for sale or delivery on a regular basis to wholesalers, marketing organisations or at markets. AND FISHERY WORKERS",,MASCO 2020,2020
6129,unit,612,ANIMAL PRODUCERS AND RELATED WORKERS NOT ELSEWHERE CLASSIFIED,"This unit group includes Animal Producers and Related Workers Not Elsewhere Classified in Minor Group 612: Animal Producers. As an example, this group include Vaccinator, Worker, Incubator, Farmer, Snake and Farmer, Crocodile",,MASCO 2020,2020
613,minor,61,MIXED CROP AND ANIMAL PRODUCERS,,,MASCO 2020,2020
6131,unit,613,MIXED CROP AND ANIMAL PRODUCERS,"Mixed Crop and Animal Producers plan and carry out the necessary operations for mixed farming of the kind that produces a combination of both crops and animals and related products, for delivery or sale on a regular basis to wholesale buyers, marketing organisations or at markets.",,MASCO 2020,2020
